run_id,arm,task_id,labels
ABINIT__9IH2u4pY__BARE__0,BARE,ABINIT__9IH2u4pY,wrong_parser;silent_empty;gave_up
ABINIT__9IH2u4pY__COMPLEXITY__0,COMPLEXITY,ABINIT__9IH2u4pY,gave_up
ABINIT__9IH2u4pY__DOCS__0,DOCS,ABINIT__9IH2u4pY,wrong_parser;silent_empty;gave_up
ABINIT__9IH2u4pY__FULL__0,FULL,ABINIT__9IH2u4pY,wrong_parser;silent_empty;gave_up
ABINIT__9IH2u4pY__NONE__0,NONE,ABINIT__9IH2u4pY,parser_from_scratch;gave_up
ABINIT__TEmqes8E__BARE__0,BARE,ABINIT__TEmqes8E,wrong_parser;silent_empty;gave_up
ABINIT__TEmqes8E__COMPLEXITY__0,COMPLEXITY,ABINIT__TEmqes8E,gave_up
ABINIT__TEmqes8E__DOCS__0,DOCS,ABINIT__TEmqes8E,wrong_parser;silent_empty;gave_up
ABINIT__TEmqes8E__FULL__0,FULL,ABINIT__TEmqes8E,wrong_parser;silent_empty;gave_up
ABINIT__TEmqes8E__NONE__0,NONE,ABINIT__TEmqes8E,gave_up
CASTEP__zrBGgzaz__BARE__0,BARE,CASTEP__zrBGgzaz,wrong_parser;silent_empty;gave_up
CASTEP__zrBGgzaz__COMPLEXITY__0,COMPLEXITY,CASTEP__zrBGgzaz,gave_up
CASTEP__zrBGgzaz__DOCS__0,DOCS,CASTEP__zrBGgzaz,wrong_parser;silent_empty;gave_up
CASTEP__zrBGgzaz__FULL__0,FULL,CASTEP__zrBGgzaz,wrong_parser;silent_empty;gave_up
CASTEP__zrBGgzaz__NONE__0,NONE,CASTEP__zrBGgzaz,gave_up
CASTEP__zs4_TvFw__BARE__0,BARE,CASTEP__zs4_TvFw,wrong_parser;silent_empty;gave_up
CASTEP__zs4_TvFw__COMPLEXITY__0,COMPLEXITY,CASTEP__zs4_TvFw,gave_up
CASTEP__zs4_TvFw__DOCS__0,DOCS,CASTEP__zs4_TvFw,wrong_parser;silent_empty;gave_up
